Language;File;Context;101%;Repetitions;100% Matches;95% - 99%;85% - 94%;75% - 84%;50% - 74%;No Match;Total;Weighted Wordcounts;Cost
alb;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;0;4728;0;23;23;48;134;6043;10999;6686;1049.7
alb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;0;10996;0;1;0;0;0;11;11008;1111;174.43
ara;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;82;4667;179;176;115;140;943;4697;10999;6273;1321.09
ara;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;82;10914;0;1;0;0;3;8;11008;1103;232.29
bul;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;146;4607;8;32;24;57;324;5801;10999;6630;1040.91
bul;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;146;10850;0;1;0;0;0;11;11008;1096;172.07
cze;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4572;296;159;417;163;676;4240;10999;5649;1031.51
cze;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;3;0;11008;1054;192.46
dan;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4572;367;198;427;159;611;4189;10999;5551;1262.3
dan;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;0;3;11008;1054;239.68
fin;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;477;4572;314;183;429;154;590;4280;10999;5610;1275.71
fin;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;498;10499;7;1;0;0;0;3;11008;1054;239.68
gre;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;173;4583;153;224;185;179;956;4546;10999;6177;1189.69
gre;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;173;10823;0;1;0;0;3;8;11008;1094;210.7
heb;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;464;4572;276;160;413;85;640;4389;10999;5720;1146.86
heb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;485;10512;7;1;0;0;3;0;11008;1055;211.53
hrv;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;463;4572;282;145;439;101;663;4334;10999;5701;1200.63
hrv;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;484;10513;7;1;0;0;0;3;11008;1055;222.18
hun;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4572;292;156;417;139;649;4298;10999;5667;1136.23
hun;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;3;0;11008;1054;211.33
jpn;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;513;4541;719;792;584;289;968;2593;10999;4605;1045.34
jpn;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;534;10463;7;1;0;0;3;0;11008;1050;238.35
kor;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;371;4647;367;203;421;155;604;4231;10999;5591;1027.07
kor;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;392;10605;7;1;0;0;3;0;11008;1064;195.46
nnb;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4572;366;198;427;156;607;4197;10999;5553;1262.75
nnb;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;0;3;11008;1054;239.68
pol;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;477;4572;320;177;429;149;646;4229;10999;5612;1024.75
pol;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;498;10499;7;1;0;0;0;3;11008;1054;192.46
rus;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;240;4607;198;136;111;79;838;4790;10999;6215;1002.48
rus;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;240;10756;0;1;0;0;3;8;11008;1087;175.33
scr;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;434;4596;244;176;406;99;646;4398;10999;5743;1229.0
scr;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;455;10542;7;1;0;0;0;3;11008;1058;226.41
slo;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;463;4572;281;171;417;100;653;4342;10999;5698;1116.81
slo;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;484;10513;7;1;0;0;0;3;11008;1055;206.78
swe;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;462;4585;385;199;422;152;630;4164;10999;5543;1260.48
swe;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;483;10514;7;1;0;0;0;3;11008;1055;239.91
tur;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4572;295;182;427;159;644;4244;10999;5628;1027.67
tur;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;3;0;11008;1054;192.46
zho-CN;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;476;4560;385;179;427;130;643;4199;10999;5574;686.72
zho-CN;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;497;10500;7;1;0;0;0;3;11008;1054;129.85
zho-TW;U:\594020\reference\320\TEST___C301-24_ds-business-protection_0824_fnl.idml;0;463;4572;395;176;401;130;639;4223;10999;5588;863.9
zho-TW;U:\594020\reference\320\TEST__C301-24_ds-business-protection-dell_0824_fnl.idml;0;484;10513;7;1;0;0;3;0;11008;1055;163.1
